1713,New+York,Vice President – Research Analyst - Public Fixed Income Group,AIG,"New York, NY","The Investment Grade Group is organized into three sector teams and consists of 13 Analysts, 3 senior portfolio managers, and 3 traders....","$100,000 a year"
1427,New+York,Senior Research Scientist I/II - Analytical,Albany Molecular Research,"Albany, NY 12203 (Campus Area-University District area)","The Senior Research Scientist I/II should be an expert chromatographic method developer, typically related to small molecule Active Pharmaceutical Ingredients...","$160,000 a year"
1470,New+York,Senior Research Scientist I/II - Analytical,Albany Molecular Research,"Albany, NY 12203 (Campus Area-University District area)","The Senior Research Scientist I/II should be an expert chromatographic method developer, typically related to small molecule Active Pharmaceutical Ingredients...","$100,000 a year"
366,New+York,Data Analyst,Albert Einstein College of Medicine,"Bronx, NY","As the University Hospital for the Albert Einstein College of Medicine, Montefiore is a premier academic health system, employing Einstein’s clinical faculty...","$160,000 a year"
389,New+York,Data Analyst,Albert Einstein College of Medicine,"Bronx, NY","As the University Hospital for the Albert Einstein College of Medicine, Montefiore is a premier academic health system, employing Einstein’s clinical faculty...","$160,000 a year"
1049,New+York,Bioinformatics Analyst,Albert Einstein College of Medicine,"Bronx, NY","As the University Hospital for the Albert Einstein College of Medicine, Montefiore is a premier academic health system, employing Einstein’s clinical faculty...","$160,000 a year"
1373,New+York,Sr. Administrative Assistant,Albert Einstein College of Medicine,"Bronx, NY","As the University Hospital for the Albert Einstein College of Medicine, Montefiore is a premier academic health system, employing Einstein’s clinical faculty...","$160,000 a year"
1391,New+York,Sr. Administrative Assistant,Albert Einstein College of Medicine,"Bronx, NY","As the University Hospital for the Albert Einstein College of Medicine, Montefiore is a premier academic health system, employing Einstein’s clinical faculty...","$160,000 a year"
1468,New+York,Sr. Bioinformatics Analyst,Albert Einstein College of Medicine,"Bronx, NY","As the University Hospital for the Albert Einstein College of Medicine, Montefiore is a premier academic health system, employing Einstein’s clinical faculty...","$170,000 a year"
1502,New+York,Senior Research Coordinator,Albert Einstein College of Medicine,"Bronx, NY","As the University Hospital for the Albert Einstein College of Medicine, Montefiore is a premier academic health system, employing Einstein’s clinical faculty...","$140,000 a year"
1604,New+York,Sr. Bioinformatics Analyst,Albert Einstein College of Medicine,"Bronx, NY","As the University Hospital for the Albert Einstein College of Medicine, Montefiore is a premier academic health system, employing Einstein’s clinical faculty...","$170,000 a year"
30,New+York,Machine Learning Engineer,Alight Labs,"New York, NY","Iterate, and innovate on Machine Learning algorithms in collaboration with Machine Learning Engineers and Software Engineers....","$170,000 a year"
40,New+York,Machine Learning Engineer,Alight Labs,"New York, NY","Iterate, and innovate on Machine Learning algorithms in collaboration with Machine Learning Engineers and Software Engineers....","$170,000 a year"
98,New+York,Data Scientist,AllianceBernstein,"New York, NY","The Data Scientists will also work closely with the data scientists, engineers, and other analysts in the Data Science Team, IT professionals in other...","$170,000 a year"
473,New+York,Data Analyst - Fixed Income Portfolio Management,AllianceBernstein,"New York, NY",Collaborate with other data scientists and AI engineers in the firm to share best practices. Build machine learning infrastructure and models (e.g....,"$170,000 a year"
511,New+York,Product Management/Quantitative Analyst,AllianceBernstein,"New York, NY","Work with data team to ensure accuracy of database information. As we look to create a more data-driven, consultative sales approach, we need more robust data...","\n$75,000 - $200,000 a year"
535,New+York,Product Management/Quantitative Analyst,AllianceBernstein,"New York, NY","Work with data team to ensure accuracy of database information. As we look to create a more data-driven, consultative sales approach, we need more robust data...","\n$75,000 - $200,000 a year"
1068,New+York,Equity Research Analyst Small Cap,AllianceBernstein,"New York, NY",Analyst will have a broad coverage area so they should be flexible and able to quickly analyze companies and business models across different industries and...,"\n$75,000 - $200,000 a year"
1085,New+York,Equity Research Analyst Small Cap,AllianceBernstein,"New York, NY",Analyst will have a broad coverage area so they should be flexible and able to quickly analyze companies and business models across different industries and...,"\n$75,000 - $200,000 a year"
1141,New+York,Equity Research Analyst Small Cap,AllianceBernstein,"New York, NY",Analyst will have a broad coverage area so they should be flexible and able to quickly analyze companies and business models across different industries and...,"\n$75,000 - $200,000 a year"
1425,New+York,Senior Data Scientist,All-In Analytics,"New York, NY",The position will provide thought leadership and project management to a cross-functional team to deliver complex analytical projects that solve important...,"\n$75,000 - $200,000 a year"
1675,New+York,Senior Data Scientist,All-In Analytics,"New York, NY",The position will provide thought leadership and project management to a cross-functional team to deliver complex analytical projects that solve important...,"$170,000 a year"
8,New+York,Data Scientist,Amazon.com,"New York, NY",We are looking for talented and experienced Machine Learning Scientists who can apply innovative Machine Learning techniques to real-world problems....,"$140,000 a year"
28,New+York,Artificial Intelligence/Machine Learning Specialist,Amazon.com,"New York, NY",Deep experience with data modeling and analytics solution stacks. You must have deep technical experience working with technologies related to artificial...,"$140,000 a year"
1672,New+York,Senior Applied Scientist,Amazon.com,"New York, NY",As a Senior Scientist in the Algorithms group you are expected be an expert in an area relevant for large scale machine learning and its applications....,"$140,000 a year"
891,New+York,Manager – Model Risk Management Data Scientist,American Express,"New York, NY","Must have a deep understanding in Machine Learning models (e.g., Gradient. Experience in large data. Evaluate new machine....","$140,000 a year"
